img,pos,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6_2.keys,key_resp_6_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
32,"[0.3, 0]",0,0,0,7,,,,,,,,,,,,,V_I_Dante,001,2019_May_21_1246,with_training,3.0.7,60.03464359154426,
14,"[0.15, -0.3]",0,1,1,5,,,,,,,,,,,,,V_I_Dante,001,2019_May_21_1246,with_training,3.0.7,60.03464359154426,
12,"[-0.15, 0.3]",0,2,2,2,,,,,,,,,,,,,V_I_Dante,001,2019_May_21_1246,with_training,3.0.7,60.03464359154426,
13,"[-0.15, -0.3]",0,3,3,3,,,,,,,,,,,,,V_I_Dante,001,2019_May_21_1246,with_training,3.0.7,60.03464359154426,
12,"[0.3, 0]",0,4,4,1,,,,,,,,,,,,,V_I_Dante,001,2019_May_21_1246,with_training,3.0.7,60.03464359154426,
33,"[-0.15, 0.3]",0,5,5,8,,,,,,,,,,,,,V_I_Dante,001,2019_May_21_1246,with_training,3.0.7,60.03464359154426,
34,"[-0.15, -0.3]",0,6,6,9,,,,,,,,,,,,,V_I_Dante,001,2019_May_21_1246,with_training,3.0.7,60.03464359154426,
31,"[-0.3, 0]",0,7,7,6,,,,,,,,,,,,,V_I_Dante,001,2019_May_21_1246,with_training,3.0.7,60.03464359154426,
11,"[-0.3, 0]",0,8,8,0,,,,,,,,,,,,,V_I_Dante,001,2019_May_21_1246,with_training,3.0.7,60.03464359154426,
13,"[0.15, 0.3]",0,9,9,4,,,,,,,,,,,,,V_I_Dante,001,2019_May_21_1246,with_training,3.0.7,60.03464359154426,
31,"[0.15, 0.3]",,,,,0,0,0,16,,,,,roption,1.1181840509998437,,,V_I_Dante,001,2019_May_21_1246,with_training,3.0.7,60.03464359154426,
31,"[0.3, 0]",,,,,0,1,1,37,,,,,roption,1.035165651999705,,,V_I_Dante,001,2019_May_21_1246,with_training,3.0.7,60.03464359154426,
32,"[-0.15, 0.3]",,,,,0,2,2,26,,,,,roption,0.9355858250000892,,,V_I_Dante,001,2019_May_21_1246,with_training,3.0.7,60.03464359154426,
32,"[0.15, -0.3]",,,,,0,3,3,47,,,,,roption,1.2674473440001748,,,V_I_Dante,001,2019_May_21_1246,with_training,3.0.7,60.03464359154426,
12,"[0.3, 0]",,,,,0,4,4,19,,,,,loption,1.1199042900007043,,,V_I_Dante,001,2019_May_21_1246,with_training,3.0.7,60.03464359154426,
22,"[0.15, -0.3]",,,,,0,5,5,35,,,,,loption,1.1348798589997386,,,V_I_Dante,001,2019_May_21_1246,with_training,3.0.7,60.03464359154426,
32,"[-0.15, -0.3]",,,,,0,6,6,27,,,,,roption,1.3683176180002192,,,V_I_Dante,001,2019_May_21_1246,with_training,3.0.7,60.03464359154426,
22,"[0.15, 0.3]",,,,,0,7,7,34,,,,,loption,0.8688526910000292,,,V_I_Dante,001,2019_May_21_1246,with_training,3.0.7,60.03464359154426,
12,"[0.15, -0.3]",,,,,0,8,8,23,,,,,loption,0.9015563849998216,,,V_I_Dante,001,2019_May_21_1246,with_training,3.0.7,60.03464359154426,
31,"[-0.15, -0.3]",,,,,0,9,9,15,,,,,loption,0.9686329779997322,,,V_I_Dante,001,2019_May_21_1246,with_training,3.0.7,60.03464359154426,
11,"[0.15, -0.3]",,,,,0,10,10,5,,,,,loption,1.0689268039996023,,,V_I_Dante,001,2019_May_21_1246,with_training,3.0.7,60.03464359154426,
31,"[0.15, -0.3]",,,,,0,11,11,17,,,,,roption,1.1682080450000285,,,V_I_Dante,001,2019_May_21_1246,with_training,3.0.7,60.03464359154426,
31,"[-0.15, 0.3]",,,,,0,12,12,14,,,,,loption,0.9848197199999049,,,V_I_Dante,001,2019_May_21_1246,with_training,3.0.7,60.03464359154426,
11,"[-0.3, 0]",,,,,0,13,13,0,,,,,loption,0.9845553169998311,,,V_I_Dante,001,2019_May_21_1246,with_training,3.0.7,60.03464359154426,
21,"[0.15, 0.3]",,,,,0,14,14,10,,,,,loption,0.9017580390000148,,,V_I_Dante,001,2019_May_21_1246,with_training,3.0.7,60.03464359154426,
31,"[-0.3, 0]",,,,,0,15,15,36,,,,,roption,1.7007031289995211,,,V_I_Dante,001,2019_May_21_1246,with_training,3.0.7,60.03464359154426,
21,"[0.15, -0.3]",,,,,0,16,16,11,,,,,loption,0.8008743539994612,,,V_I_Dante,001,2019_May_21_1246,with_training,3.0.7,60.03464359154426,
